url,adress
https://kazan.hh.ru/vacancy/29508916,"Площадь Тукая, Казань, улица Пушкина, 12"
https://kazan.hh.ru/vacancy/30571654,"Площадь Тукая, Казань, Щербаковский переулок, 7"
https://kazan.hh.ru/vacancy/27462032,"Площадь Тукая, Казань"
https://kazan.hh.ru/vacancy/30542483,"Северный вокзал , Казань, улица Восстания, 18Б"
https://kazan.hh.ru/vacancy/30754661,"Кремлевская, Казань, улица Мусы Джалиля"
https://kazan.hh.ru/vacancy/30421662,"Площадь Тукая, Казань, улица Парижской Коммуны, 26"
https://kazan.hh.ru/vacancy/30717414,"Горки, Казань, улица Рихарда Зорге, 11Б"
https://kazan.hh.ru/vacancy/30366725,"Козья слобода, Казань, проспект Ибрагимова, 56А"
https://kazan.hh.ru/vacancy/30497579,"Площадь Тукая, Казань, улица Островского, 84"
https://kazan.hh.ru/vacancy/30762840,"Площадь Тукая, Казань, улица Каюма Насыри, 28"
https://kazan.hh.ru/vacancy/30699741,"Козья слобода, Казань, улица Односторонка Гривки"
https://kazan.hh.ru/vacancy/29703872,"Площадь Тукая, Казань, улица Мазита Гафури, 50"
https://kazan.hh.ru/vacancy/30639999,"Площадь Тукая, Казань, улица Пушкина, 12"
https://kazan.hh.ru/vacancy/24519732,"Козья слобода, Казань, проспект Ямашева, 45А"
https://kazan.hh.ru/vacancy/30490560,"Козья слобода, Казань, улица Фатыха Амирхана, 3"
https://kazan.hh.ru/vacancy/30458521,"Казань, Суконная слобода, "
https://kazan.hh.ru/vacancy/30451295,"Площадь Тукая, Казань, улица Каюма Насыри, 5"
https://kazan.hh.ru/vacancy/30504607,"Аметьево, Казань, Техническая улица, 17а"
https://kazan.hh.ru/vacancy/29178087,"Площадь Тукая, Казань, Московская улица, 53"
https://kazan.hh.ru/vacancy/28411117,"Северный вокзал , Казань, Центральная линия, метро Северный вокзал"
https://kazan.hh.ru/vacancy/29378577,"Козья слобода, Казань, Ново-Савиновский район, Меридианная улица, 1А"
