url,adress
https://spb.hh.ru/vacancy/27612829,"Санкт-Петербург, Гостиный двор, "
https://spb.hh.ru/vacancy/30492699,"Чкаловская, Санкт-Петербург, улица Красного Курсанта, 25В"
https://spb.hh.ru/vacancy/20973852,"Горьковская, Санкт-Петербург, Пинский переулок, 3"
https://spb.hh.ru/vacancy/26753777,"Василеостровская, Санкт-Петербург, Средний проспект Васильевского острова, 39"
https://spb.hh.ru/vacancy/30424555,"Улица Дыбенко, Санкт-Петербург, улица Тельмана, 37А"
https://spb.hh.ru/vacancy/30585337,"Площадь Ленина, Санкт-Петербург, улица Михайлова, 11"
https://spb.hh.ru/vacancy/30154481,"Санкт-Петербург, Невский проспект, "
https://spb.hh.ru/vacancy/30422349,"Василеостровская, Санкт-Петербург, В.О. , 21 линия, 6 ""А"""
https://spb.hh.ru/vacancy/30695283,"Санкт-Петербург, Политехническая, "
https://spb.hh.ru/vacancy/30422978,"Бухарестская, Санкт-Петербург, улица Салова, 53к1"
https://spb.hh.ru/vacancy/30559268,"Санкт-Петербург, Международная, "
https://spb.hh.ru/vacancy/30703057,"Политехническая, Санкт-Петербург, улица Курчатова, 9"
https://spb.hh.ru/vacancy/30521486,"Чёрная речка, Санкт-Петербург, Сердобольская улица, 65"
https://spb.hh.ru/vacancy/29898815,"Московская, Санкт-Петербург, Ленинский проспект, 168"
https://spb.hh.ru/vacancy/29903199,"Проспект Большевиков, Санкт-Петербург, улица Ворошилова, 2"
https://spb.hh.ru/vacancy/30368340,"Ладожская, Санкт-Петербург, площадь Карла Фаберже, 8"
https://spb.hh.ru/vacancy/30547497,"Лесная, Санкт-Петербург, Большой Сампсониевский проспект, 68"
https://spb.hh.ru/vacancy/30729649,"Старая Деревня, Санкт-Петербург, улица Оптиков, 4к3"
https://spb.hh.ru/vacancy/30721888,"Звёздная, Санкт-Петербург, Пулковское шоссе, 25к1"
https://spb.hh.ru/vacancy/30471358,"Приморская, Санкт-Петербург, ул. Беринга, 1, офис 47Н"
https://spb.hh.ru/vacancy/30705624,"Политехническая, Санкт-Петербург, проспект Тореза, 68"
https://spb.hh.ru/vacancy/30767852,"Чкаловская, Санкт-Петербург, улица Красного Курсанта, 25ж"
https://spb.hh.ru/vacancy/30564012,"Удельная, Санкт-Петербург, Удельный проспект, 22"
https://spb.hh.ru/vacancy/30435414,"Лесная, Санкт-Петербург, Большой Сампсониевский проспект, 68"
https://spb.hh.ru/vacancy/30583612,"Площадь Мужества, Санкт-Петербург, 2-й Муринский проспект, 49"
https://spb.hh.ru/vacancy/30456860,"Международная, Санкт-Петербург, проспект Космонавтов, 14"
https://spb.hh.ru/vacancy/30753307,"Санкт-Петербург, Площадь Ленина, "
https://spb.hh.ru/vacancy/30335896,"Автово, Санкт-Петербург, Кировско-Выборгская линия, метро Автово"
https://spb.hh.ru/vacancy/30453064,"Московская, Санкт-Петербург, Московский проспект, 193"
https://spb.hh.ru/vacancy/30563113,"Невский проспект, Санкт-Петербург, Итальянская улица, 12Е"
https://spb.hh.ru/vacancy/29338858,"Чернышевская, Санкт-Петербург, улица Чайковского, 17"
https://spb.hh.ru/vacancy/29864660,"Ладожская, Санкт-Петербург, Партизанская, 27"
https://spb.hh.ru/vacancy/29921950,"Санкт-Петербург, Горьковская, Нижний Новгород, Гаражная улица, 9"
https://spb.hh.ru/vacancy/30559711,"Чернышевская, Санкт-Петербург, Греческий проспект, 29"
https://spb.hh.ru/vacancy/30680500,"Нарвская, Санкт-Петербург, Бумажная улица, 16к1"
https://spb.hh.ru/vacancy/29775528,"Лесная, Санкт-Петербург, Литовская улица, 15"
https://spb.hh.ru/vacancy/30608369,"Ленинский проспект, Санкт-Петербург, бульвар Новаторов, 11к2"
https://spb.hh.ru/vacancy/30541387,"Комендантский проспект, Санкт-Петербург, Гаккелевская улица, 21А"
https://spb.hh.ru/vacancy/30730896,"Адмиралтейская, Санкт-Петербург, Малая Морская улица, 16"
https://spb.hh.ru/vacancy/30270253,"Площадь Ленина, Санкт-Петербург, улица Михайлова, 21"
https://spb.hh.ru/vacancy/30166385,"Гражданский проспект, Санкт-Петербург, Учительская улица, 2"
https://spb.hh.ru/vacancy/30557275,"Ломоносовская, Санкт-Петербург, Железнодорожный проспект, 3"
https://spb.hh.ru/vacancy/30775823,"Звёздная, Санкт-Петербург, Московское шоссе, 42к2"
https://spb.hh.ru/vacancy/29565732,"Бухарестская, Санкт-Петербург, улица Салова, 53"
https://spb.hh.ru/vacancy/30207943,"Ладожская, Санкт-Петербург, площадь Карла Фаберже, 8к3"
https://spb.hh.ru/vacancy/30659041,"Звенигородская, Санкт-Петербург, Звенигородская, 1 "
https://spb.hh.ru/vacancy/30522689,"Чкаловская, Санкт-Петербург, Левашовский проспект, 13З"
https://spb.hh.ru/vacancy/30022048,"Нарвская, Санкт-Петербург, Лифляндская улица, 6"
https://spb.hh.ru/vacancy/29583263,"Санкт-Петербург, Ладожская, "
https://spb.hh.ru/vacancy/29994765,"Улица Дыбенко, Санкт-Петербург, Искровский проспект, 22"
https://spb.hh.ru/vacancy/30749308,"Площадь Ленина, Санкт-Петербург, Финляндский проспект, 4А"
https://spb.hh.ru/vacancy/30439226,"Нарвская, Санкт-Петербург, Старо-Петергофский проспект, 19"
https://spb.hh.ru/vacancy/30731956,"Площадь Мужества, Санкт-Петербург, проспект Непокоренных, 49"
https://spb.hh.ru/vacancy/30410687,"Проспект Ветеранов, Санкт-Петербург, Дачный проспект, 20"
https://spb.hh.ru/vacancy/30332147,"Пионерская, Санкт-Петербург, Коломяжский проспект, 33"
https://spb.hh.ru/vacancy/30567510,"Кировский завод, Санкт-Петербург, улица Маршала Говорова, 29"
https://spb.hh.ru/vacancy/30455931,"Озерки, Санкт-Петербург, Северный проспект, 4к1"
https://spb.hh.ru/vacancy/30717741,"Проспект Просвещения, Санкт-Петербург, проспект Просвещения, 19"
https://spb.hh.ru/vacancy/30769636,"Кировский завод, Санкт-Петербург, проспект Стачек, 47"
https://spb.hh.ru/vacancy/28495069,"Площадь Мужества, Санкт-Петербург, Кушелевская дорога, 13к2"
https://spb.hh.ru/vacancy/25949789,"Звёздная, Санкт-Петербург, Звездная улица, 1"
https://spb.hh.ru/vacancy/30615961,"Адмиралтейская, Санкт-Петербург, пер.Гривцова, 4А"
https://spb.hh.ru/vacancy/30489704,"Приморская, Санкт-Петербург, набережная реки Смоленки, 35к1"
https://spb.hh.ru/vacancy/30680385,"Московские ворота, Санкт-Петербург, Заставская улица, 33"
https://spb.hh.ru/vacancy/30739289,"Санкт-Петербург, Рыбацкое, посёлок Металлострой"
https://spb.hh.ru/vacancy/30659117,"Санкт-Петербург, Маяковская, "
https://spb.hh.ru/vacancy/30707781,"Пролетарская, Санкт-Петербург, улица Бабушкина, 123"
https://spb.hh.ru/vacancy/29981067,"Василеостровская, Санкт-Петербург, Большой проспект Васильевского острова, 18"
https://spb.hh.ru/vacancy/30609433,"Площадь Ленина, Санкт-Петербург, улица Михайлова, 21"
https://spb.hh.ru/vacancy/22462383,"Парк Победы, Санкт-Петербург, 2 линия"
https://spb.hh.ru/vacancy/30547157,"Пушкинская, Санкт-Петербург, Введенский канал, 7"
https://spb.hh.ru/vacancy/30507482,"Чернышевская, Санкт-Петербург, Захарьевская улица, 25"
https://spb.hh.ru/vacancy/30618767,"Парнас, Санкт-Петербург, 6-й Верхний переулок, 12"
https://spb.hh.ru/vacancy/30118878,"Ладожская, Санкт-Петербург, Ириновский проспект, 2"
https://spb.hh.ru/vacancy/30335415,"Нарвская, Санкт-Петербург, 1 линия, метро Нарвская"
https://spb.hh.ru/vacancy/30384521,"Маяковская, Санкт-Петербург, Невский пр., 57"
https://spb.hh.ru/vacancy/30504534,"Адмиралтейская, Санкт-Петербург, Большая Морская улица, 57"
https://spb.hh.ru/vacancy/30732517,"Площадь Восстания, Санкт-Петербург, улица Восстания, 4"
https://spb.hh.ru/vacancy/28741955,"Санкт-Петербург, Нарвская, "
https://spb.hh.ru/vacancy/30740871,"Московские ворота, Санкт-Петербург, Заставская улица, 13Э"
https://spb.hh.ru/vacancy/30394380,"Площадь Мужества, Санкт-Петербург, улица Шателена, 3"
https://spb.hh.ru/vacancy/30573193,"Площадь Ленина, Санкт-Петербург, улица Михайлова, 11"
https://spb.hh.ru/vacancy/29626705,"Василеостровская, Санкт-Петербург, 7-я линия Васильевского острова"
https://spb.hh.ru/vacancy/30719160,"Санкт-Петербург, Улица Дыбенко, деревня Кудрово, Мурманское шоссе, 12-й километр"
https://spb.hh.ru/vacancy/30728294,"Электросила, Санкт-Петербург, Варшавская улица, 2А"
https://spb.hh.ru/vacancy/30102587,"Сенная площадь, Санкт-Петербург"
https://spb.hh.ru/vacancy/18562648,"Санкт-Петербург, Новокрестовская, "
